Tingkat,Obat/Pengobatan,Penggunaan yang Disarankan,Potensi Efek Samping
lv0,"Retinoid topikal (misalnya, tretinoin, adapalene)",Oleskan lapisan tipis ke area yang terkena sekali sehari di malam hari,"Kulit kering, kemerahan, mengelupas, dan peningkatan kepekaan terhadap sinar matahari"
lv0,"Pembersih asam salisilat (misalnya, pembersih dengan kandungan asam salisilat 0,5% hingga 2%)","Gunakan pembersih yang mengandung asam salisilat 0,5% hingga 2% sekali atau dua kali sehari","Kulit kering, iritasi, dan perih ringan"
lv0,Krim atau gel benzoil peroksida,Oleskan lapisan tipis ke area yang terkena sekali atau dua kali sehari,"Kulit kering, kemerahan, mengelupas, dan pemutihan sementara pada rambut dan kain"
lv0,Pembersih dengan kandungan asam glikolat,Gunakan pembersih yang mengandung asam glikolat sekali atau dua kali sehari,"Kulit kering, kemerahan, dan meningkatkan kepekaan terhadap sinar matahari"
lv0,Serum dengan kandungan niacinamide,Oleskan serum dengan kandungan niacinamide ke area yang terkena sekali atau dua kali sehari,Tidak ada efek samping yang signifikan
lv1,Retinoid topikal,Oleskan lapisan tipis ke area yang terkena sekali atau dua kali sehari,"Kulit kering, kemerahan, mengelupas, dan peningkatan kepekaan terhadap sinar matahari"
lv1,Pembersih asam salisilat,Gunakan pembersih yang mengandung asam salisilat sekali atau dua kali sehari,"Kulit kering, iritasi, dan perih ringan"
lv1,Krim atau gel benzoil peroksida,Oleskan lapisan tipis ke area yang terkena sekali atau dua kali sehari,"Kulit kering, kemerahan, mengelupas, dan pemutihan sementara pada rambut dan kain"
lv1,"Antibiotik topikal (misalnya, klindamisin, eritromisin)",Oleskan lapisan tipis ke area yang terkena sekali atau dua kali sehari,"Kulit kering, kemerahan, dan potensi berkembangnya resistensi antibiotik dengan penggunaan jangka panjang"
lv1,Krim asam azelaic,Oleskan lapisan tipis ke area yang terkena dampak dua kali sehari,"Iritasi kulit ringan, kekeringan, dan perubahan warna kulit sementara"
lv1,Serum dengan kandungan asam hialuronat,Oleskan serum dengan kandungan asam hialuronat ke area yang terkena dua kali sehari,Tidak ada efek samping yang signifikan
lv1,Pembersih dengan kandungan sulfur,Gunakan pembersih yang mengandung sulfur sekali atau dua kali sehari,"Kulit kering, iritasi, dan bau yang tidak sedap"
lv1,Tonik dengan kandungan ekstrak teh hijau,Gunakan tonik dengan kandungan ekstrak teh hijau setelah pembersihan kulit,"Kulit kering, iritasi, dan alergi pada beberapa individu"
lv1,Peeling kimia dengan kandungan asam laktat,Gunakan peeling kimia dengan kandungan asam laktat sesuai petunjuk dokter,"Kemerahan kulit sementara, iritasi, dan sensitivitas yang meningkat"
lv1,Spot treatment dengan kandungan asam salisilat,Oleskan spot treatment dengan kandungan asam salisilat langsung pada jerawat,"Kulit kering, iritasi, dan perih ringan"
lv2,"Antibiotik oral (misalnya, doksisiklin, minosiklin)",Ambil antibiotik oral sesuai petunjuk profesional perawatan kesehatan,"Gangguan pencernaan, fotosensitivitas, dan efek samping yang jarang namun serius seperti reaksi alergi dan toksisitas hati"
lv2,Kontrasepsi oral (untuk wanita),Ambil kontrasepsi oral sesuai petunjuk profesional perawatan kesehatan,"Mual, sakit kepala, nyeri payudara, dan risiko kecil penggumpalan darah"
lv2,Spironolakton (untuk wanita),Ambil spironolakton sesuai petunjuk profesional perawatan kesehatan,"Ketidakteraturan menstruasi, nyeri payudara, dan peningkatan buang air kecil"
lv2,Isotretinoin oral (untuk kasus yang parah),Ambil isotretinoin oral sesuai petunjuk profesional perawatan kesehatan,"Kulit kering, bibir pecah-pecah, mata kering, mimisan, nyeri otot, peningkatan enzim hati, dan efek samping yang jarang namun serius seperti cacat lahir (memerlukan kontrasepsi ketat selama perawatan)"
lv2,Suntikan kortikosteroid intralesi (untuk nodul individu),Diberikan oleh dokter kulit sesuai kebutuhan untuk nodul individu,"Perubahan warna kulit sementara, sedikit lekukan atau atrofi di tempat suntikan"
lv2,"Peeling kimia dalam (misalnya, peeling dengan kandungan asam trikloroasetat)",Lakukan peeling kimia dalam sesuai petunjuk dokter,"Kemerahan kulit yang signifikan, iritasi, dan sensitivitas yang meningkat"
lv2,"Terapi laser (misalnya, laser CO2 fraksional)",Lakukan terapi laser sesuai petunjuk dokter,"Kemerahan kulit, iritasi, dan risiko infeksi"
lv2,"Micro-needling (misalnya, dermaroller)",Lakukan micro-needling sesuai petunjuk dokter,"Kemerahan kulit, iritasi, dan risiko infeksi"
lv2,"Pengangkatan nodul secara bedah (misalnya, eksisi bedah)",Lakukan pengangkatan nodul secara bedah sesuai petunjuk dokter,"Risiko infeksi, perdarahan, dan bekas luka"
lv2,Suplemen zinc,Konsumsi suplemen zinc sesuai petunjuk profesional perawatan kesehatan,"Gangguan pencernaan, mual, dan efek samping jarang seperti penurunan penyerapan tembaga"
